Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2020,2020,2020,6,1,1,Import,410,Rep. of Korea,KOR,392,Japan,JPN,,,,,,,,30312,"Fish; frozen, Pacific salmon (Oncorhynchus gorbuscha/keta/tschawytscha/ kisutch/masou/rhodurus) other than sockeye salmon (Oncorhynchus nerka), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",8,Weight in kilograms,140,,,,140,,772,,,0
H5,2020,2020,2020,6,1,1,Import,410,Rep. of Korea,KOR,392,Japan,JPN,,,,,,,,30342,"Fish; frozen, yellowfin tunas (Thunnus albacares), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",8,Weight in kilograms,915,,,,915,,957,,,0
H5,2020,2020,2020,6,1,1,Import,410,Rep. of Korea,KOR,392,Japan,JPN,,,,,,,,30344,"Fish; frozen, bigeye tunas (Thunnus obesus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",8,Weight in kilograms,31651,,,,31651,,120504,,,0
H5,2020,2020,2020,6,1,1,Import,410,Rep. of Korea,KOR,392,Japan,JPN,,,,,,,,30345,"Fish; frozen, Atlantic and Pacific bluefin tunas (Thunnus thynnus, Thunnus orientalis), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",8,Weight in kilograms,1204,,,,1204,,10046,,,0
H5,2020,2020,2020,6,1,1,Import,410,Rep. of Korea,KOR,392,Japan,JPN,,,,,,,,30346,"Fish; frozen, southern bluefin tunas (Thunnus maccoyii), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",8,Weight in kilograms,79402,,,,79402,,712325,,,0
H5,2020,2020,2020,6,1,1,Import,410,Rep. of Korea,KOR,392,Japan,JPN,,,,,,,,30349,"Fish; frozen, tuna, n.e.c. in item no. 0303.4, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",8,Weight in kilograms,6,,,,6,,502,,,0
H5,2020,2020,2020,6,1,1,Import,410,Rep. of Korea,KOR,392,Japan,JPN,,,,,,,,30353,"Fish; frozen, sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",8,Weight in kilograms,1491460,,,,1491460,,1208821,,,0
H5,2020,2020,2020,6,1,1,Import,410,Rep. of Korea,KOR,392,Japan,JPN,,,,,,,,30354,"Fish; frozen, mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",8,Weight in kilograms,90300,,,,90300,,147730,,,0
H5,2020,2020,2020,6,1,1,Import,410,Rep. of Korea,KOR,392,Japan,JPN,,,,,,,,30357,"Fish; frozen, swordfish (Xiphias gladius), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",8,Weight in kilograms,22112,,,,22112,,131080,,,0
H5,2020,2020,2020,6,1,1,Import,410,Rep. of Korea,KOR,392,Japan,JPN,,,,,,,,30359,"Fish; frozen, n.e.c. in item no. 0303.5, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",8,Weight in kilograms,1764140,,,,1764140,,1766620,,,0
H5,2020,2020,2020,6,1,1,Import,410,Rep. of Korea,KOR,392,Japan,JPN,,,,,,,,30367,"Fish; frozen, Alaska pollack (Theraga chalcogramma), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",8,Weight in kilograms,24150,,,,24150,,27782,,,0
H5,2020,2020,2020,6,1,1,Import,410,Rep. of Korea,KOR,392,Japan,JPN,,,,,,,,30381,"Fish; frozen, dogfish and other sharks, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",8,Weight in kilograms,4605,,,,4605,,15887,,,0
H5,2020,2020,2020,6,1,1,Import,410,Rep. of Korea,KOR,392,Japan,JPN,,,,,,,,30382,"Fish; frozen, rays and skates (Rajidae), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",8,Weight in kilograms,270322,,,,270322,,1159334,,,0
H5,2020,2020,2020,6,1,1,Import,410,Rep. of Korea,KOR,392,Japan,JPN,,,,,,,,30389,"Fish; frozen, n.e.c. in heading 0303, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",8,Weight in kilograms,532880,,,,532880,,1950401,,,0
H5,2020,2020,2020,6,1,1,Import,410,Rep. of Korea,KOR,392,Japan,JPN,,,,,,,,30391,"Fish; frozen, livers, roes and milt",8,Weight in kilograms,124,,,,124,,3490,,,0
H5,2020,2020,2020,6,1,1,Import,410,Rep. of Korea,KOR,392,Japan,JPN,,,,,,,,30399,"Fish; frozen, fish fins (other than shark fins), heads, tails, maws and other edible fish offal",8,Weight in kilograms,5894,,,,5894,,17092,,,0
H5,2020,2020,2020,6,1,1,Import,410,Rep. of Korea,KOR,392,Japan,JPN,,,,,,,,30449,"Fish fillets; fresh or chilled, other than fish of heading 0304.4",8,Weight in kilograms,8,,,,8,,1,,,0
H5,2020,2020,2020,6,1,1,Import,410,Rep. of Korea,KOR,392,Japan,JPN,,,,,,,,30461,"Fish fillets; frozen, tilapias (Oreochromis spp.)",8,Weight in kilograms,1,,,,1,,12,,,0
