Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2019,2019,2019,6,1,1,Import,410,Rep. of Korea,KOR,392,Japan,JPN,,,,,,,,10121,"Horses; live, pure-bred breeding animals",1,No Quantity,0,,,,450,,5437,,,2
H5,2019,2019,2019,6,1,1,Import,410,Rep. of Korea,KOR,392,Japan,JPN,,,,,,,,10129,"Horses; live, other than pure-bred breeding animals",1,No Quantity,0,,,,2300,,193891,,,2
H5,2019,2019,2019,6,1,1,Import,410,Rep. of Korea,KOR,392,Japan,JPN,,,,,,,,10614,"Mammals; live, rabbits and hares",1,No Quantity,0,,,,626,,49149,,,2
H5,2019,2019,2019,6,1,1,Import,410,Rep. of Korea,KOR,392,Japan,JPN,,,,,,,,10619,"Mammals; live, other than primates, whales, dolphins, porpoises (mammals of the order Cetacea); manatees, dugongs (mammals of the order Sirenia); seals, sea lions, walruses (mammals of the suborder Pinnipedia), camels, other camelids, rabbits and hares",1,No Quantity,0,,,,25847,,3776165,,,2
H5,2019,2019,2019,6,1,1,Import,410,Rep. of Korea,KOR,392,Japan,JPN,,,,,,,,10620,Reptiles; live (including snakes and turtles),1,No Quantity,0,,,,5,,2755,,,2
H5,2019,2019,2019,6,1,1,Import,410,Rep. of Korea,KOR,392,Japan,JPN,,,,,,,,10639,"Birds; live, other than birds of prey, Psittaciformes, ostriches and emus (Dromaius novaehollandiae)",1,No Quantity,0,,,,18,,117777,,,2
H5,2019,2019,2019,6,1,1,Import,410,Rep. of Korea,KOR,392,Japan,JPN,,,,,,,,10649,"Insects; live, other than bees",1,No Quantity,0,,,,1,,40,,,2
H5,2019,2019,2019,6,1,1,Import,410,Rep. of Korea,KOR,392,Japan,JPN,,,,,,,,30111,"Fish; live, ornamental, freshwater",8,Weight in kilograms,446,,,,446,,31545,,,0
H5,2019,2019,2019,6,1,1,Import,410,Rep. of Korea,KOR,392,Japan,JPN,,,,,,,,30119,"Fish; live, ornamental, other than freshwater",8,Weight in kilograms,350,,,,350,,25014,,,0
H5,2019,2019,2019,6,1,1,Import,410,Rep. of Korea,KOR,392,Japan,JPN,,,,,,,,30199,"Fish; live, n.e.c. in heading 0301",8,Weight in kilograms,5337713,,,,5337713,,50792463,,,0
H5,2019,2019,2019,6,1,1,Import,410,Rep. of Korea,KOR,392,Japan,JPN,,,,,,,,30233,"Fish; fresh or chilled, skipjack or stripe-bellied bonito, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",8,Weight in kilograms,6,,,,6,,6,,,0
H5,2019,2019,2019,6,1,1,Import,410,Rep. of Korea,KOR,392,Japan,JPN,,,,,,,,30235,"Fish; fresh or chilled, Atlantic and Pacific bluefin tunas (Thunnus thynnus, Thunnus orientalis), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",8,Weight in kilograms,635,,,,635,,22687,,,0
H5,2019,2019,2019,6,1,1,Import,410,Rep. of Korea,KOR,392,Japan,JPN,,,,,,,,30244,"Fish; fresh or chilled, mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",8,Weight in kilograms,18024,,,,18024,,47500,,,0
H5,2019,2019,2019,6,1,1,Import,410,Rep. of Korea,KOR,392,Japan,JPN,,,,,,,,30249,"Fish; fresh or chilled, n.e.c. in item no. 0302.4, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",8,Weight in kilograms,936,,,,936,,17992,,,0
H5,2019,2019,2019,6,1,1,Import,410,Rep. of Korea,KOR,392,Japan,JPN,,,,,,,,30251,"Fish; fresh or chilled, cod (Gadus morhua, Gadus ogac, Gadus macrocephalus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",8,Weight in kilograms,18515,,,,18515,,59975,,,0
H5,2019,2019,2019,6,1,1,Import,410,Rep. of Korea,KOR,392,Japan,JPN,,,,,,,,30255,"Fish; fresh or chilled, Alaska pollack (Theragra chalcogramma), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",8,Weight in kilograms,2188427,,,,2188427,,6677768,,,0
H5,2019,2019,2019,6,1,1,Import,410,Rep. of Korea,KOR,392,Japan,JPN,,,,,,,,30282,"Fish; fresh or chilled, rays and skates (Rajidae), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",8,Weight in kilograms,1139458,,,,1139458,,6241306,,,0
H5,2019,2019,2019,6,1,1,Import,410,Rep. of Korea,KOR,392,Japan,JPN,,,,,,,,30285,"Fish; fresh or chilled, seabream (Sparidae), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",8,Weight in kilograms,93090,,,,93090,,591431,,,0
H5,2019,2019,2019,6,1,1,Import,410,Rep. of Korea,KOR,392,Japan,JPN,,,,,,,,30289,"Fish; fresh or chilled, n.e.c. in heading 0302, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",8,Weight in kilograms,496976,,,,496976,,4334569,,,0
H5,2019,2019,2019,6,1,1,Import,410,Rep. of Korea,KOR,392,Japan,JPN,,,,,,,,30311,"Fish; frozen, Pacific salmon, sockeye salmon (red salmon) (Oncorhynchus nerka), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",8,Weight in kilograms,5,,,,5,,96,,,0
H5,2019,2019,2019,6,1,1,Import,410,Rep. of Korea,KOR,392,Japan,JPN,,,,,,,,30342,"Fish; frozen, yellowfin tunas (Thunnus albacares), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",8,Weight in kilograms,62018,,,,62018,,128676,,,0
H5,2019,2019,2019,6,1,1,Import,410,Rep. of Korea,KOR,392,Japan,JPN,,,,,,,,30344,"Fish; frozen, bigeye tunas (Thunnus obesus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",8,Weight in kilograms,52156,,,,52156,,304964,,,0
H5,2019,2019,2019,6,1,1,Import,410,Rep. of Korea,KOR,392,Japan,JPN,,,,,,,,30345,"Fish; frozen, Atlantic and Pacific bluefin tunas (Thunnus thynnus, Thunnus orientalis), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",8,Weight in kilograms,1193,,,,1193,,8573,,,0
H5,2019,2019,2019,6,1,1,Import,410,Rep. of Korea,KOR,392,Japan,JPN,,,,,,,,30346,"Fish; frozen, southern bluefin tunas (Thunnus maccoyii), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",8,Weight in kilograms,164726,,,,164726,,1582174,,,0
H5,2019,2019,2019,6,1,1,Import,410,Rep. of Korea,KOR,392,Japan,JPN,,,,,,,,30353,"Fish; frozen, sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",8,Weight in kilograms,3603465,,,,3603465,,3154967,,,0
H5,2019,2019,2019,6,1,1,Import,410,Rep. of Korea,KOR,392,Japan,JPN,,,,,,,,30357,"Fish; frozen, swordfish (Xiphias gladius), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",8,Weight in kilograms,26892,,,,26892,,176346,,,0
H5,2019,2019,2019,6,1,1,Import,410,Rep. of Korea,KOR,392,Japan,JPN,,,,,,,,30359,"Fish; frozen, n.e.c. in item no. 0303.5, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",8,Weight in kilograms,2402527,,,,2402527,,2531810,,,0
H5,2019,2019,2019,6,1,1,Import,410,Rep. of Korea,KOR,392,Japan,JPN,,,,,,,,30381,"Fish; frozen, dogfish and other sharks, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",8,Weight in kilograms,34971,,,,34971,,119855,,,0
H5,2019,2019,2019,6,1,1,Import,410,Rep. of Korea,KOR,392,Japan,JPN,,,,,,,,30382,"Fish; frozen, rays and skates (Rajidae), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",8,Weight in kilograms,341167,,,,341167,,923970,,,0
H5,2019,2019,2019,6,1,1,Import,410,Rep. of Korea,KOR,392,Japan,JPN,,,,,,,,30389,"Fish; frozen, n.e.c. in heading 0303, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",8,Weight in kilograms,721267,,,,721267,,2542403,,,0
H5,2019,2019,2019,6,1,1,Import,410,Rep. of Korea,KOR,392,Japan,JPN,,,,,,,,30391,"Fish; frozen, livers, roes and milt",8,Weight in kilograms,103,,,,103,,2273,,,0
H5,2019,2019,2019,6,1,1,Import,410,Rep. of Korea,KOR,392,Japan,JPN,,,,,,,,30399,"Fish; frozen, fish fins (other than shark fins), heads, tails, maws and other edible fish offal",8,Weight in kilograms,835,,,,835,,9793,,,0
H5,2019,2019,2019,6,1,1,Import,410,Rep. of Korea,KOR,392,Japan,JPN,,,,,,,,30449,"Fish fillets; fresh or chilled, other than fish of heading 0304.4",8,Weight in kilograms,3,,,,3,,77,,,0
H5,2019,2019,2019,6,1,1,Import,410,Rep. of Korea,KOR,392,Japan,JPN,,,,,,,,30452,"Fish meat, excluding fillets, whether or not minced; fresh or chilled, salmonidae",8,Weight in kilograms,0,,,,0,,8,,,0
H5,2019,2019,2019,6,1,1,Import,410,Rep. of Korea,KOR,392,Japan,JPN,,,,,,,,30459,"Fish meat; excluding fillets, whether or not minced; fresh or chilled, of fish n.e.c. in item no. 0304.5",8,Weight in kilograms,2,,,,2,,58,,,0
H5,2019,2019,2019,6,1,1,Import,410,Rep. of Korea,KOR,392,Japan,JPN,,,,,,,,30475,"Fish fillets; frozen, Alaska pollack (Theragra chalcogramma)",8,Weight in kilograms,11,,,,11,,58,,,0
H5,2019,2019,2019,6,1,1,Import,410,Rep. of Korea,KOR,392,Japan,JPN,,,,,,,,30484,"Fish fillets; frozen, swordfish (Xiphias gladius)",8,Weight in kilograms,27900,,,,27900,,517025,,,0
H5,2019,2019,2019,6,1,1,Import,410,Rep. of Korea,KOR,392,Japan,JPN,,,,,,,,30486,"Fish fillets; frozen, herrings (Clupea harengus, Clupea pallasii)",8,Weight in kilograms,20,,,,20,,10,,,0
H5,2019,2019,2019,6,1,1,Import,410,Rep. of Korea,KOR,392,Japan,JPN,,,,,,,,30487,"Fish fillets; frozen, tunas (of the genus Thunnus), skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis)",8,Weight in kilograms,118567,,,,118567,,1527076,,,0
H5,2019,2019,2019,6,1,1,Import,410,Rep. of Korea,KOR,392,Japan,JPN,,,,,,,,30488,"Fish fillets; frozen, dogfish, other sharks, rays and skates (Rajidae)",8,Weight in kilograms,48439,,,,48439,,221650,,,0
H5,2019,2019,2019,6,1,1,Import,410,Rep. of Korea,KOR,392,Japan,JPN,,,,,,,,30489,"Fish fillets; frozen, of fish n.e.c. in heading 0304.8",8,Weight in kilograms,69296,,,,69296,,1083715,,,0
H5,2019,2019,2019,6,1,1,Import,410,Rep. of Korea,KOR,392,Japan,JPN,,,,,,,,30491,"Fish meat, excluding fillets, whether or not minced; frozen, swordfish (Xiphias gladius)",8,Weight in kilograms,4154,,,,4154,,72001,,,0
H5,2019,2019,2019,6,1,1,Import,410,Rep. of Korea,KOR,392,Japan,JPN,,,,,,,,30499,"Fish meat, excluding fillets, whether or not minced; frozen, n.e.c. in item no. 0304.9",8,Weight in kilograms,6644,,,,6644,,28073,,,0
